,holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume,hour,month,weekend,MIST,THUNDERSTORM,SNOW,RAIN,SQUALL,HAZE,FOG,DRIZZLE,CLEAR,CLOUDS,SMOKE,predictions
299,0,0.7155068986202758,0.0932949847204746,0.0,90,5065,0.7391304347826091,9,5,0,1,0,0,0,0,0,0,0,0,0,5625.77212657083
300,0,0.7155068986202758,0.0932949847204746,0.0,90,5065,0.7391304347826091,9,5,1,0,0,0,0,0,0,0,0,0,0,5530.416585387953
301,0,0.673365326934613,0.0920366708610462,0.0,90,858,0.17391304347826098,9,3,0,0,0,1,0,0,0,0,0,0,0,780.4479624765798
302,0,0.673365326934613,0.0920366708610462,0.0,90,858,0.17391304347826098,9,3,0,1,0,0,0,0,0,0,0,0,0,845.5809620587437
303,0,0.673365326934613,0.0920366708610462,0.0,90,858,0.17391304347826098,9,3,1,0,0,0,0,0,0,0,0,0,0,816.7369909110806
312,0,0.737402519496101,0.0913176343699443,0.0,90,1657,0.304347826086957,8,1,0,0,0,1,0,0,0,0,0,0,0,1205.8072722952686
313,0,0.737402519496101,0.0913176343699443,0.0,90,1657,0.304347826086957,8,1,0,1,0,0,0,0,0,0,0,0,0,1284.4280955162726
314,0,0.737402519496101,0.0913176343699443,0.0,90,1657,0.304347826086957,8,1,1,0,0,0,0,0,0,0,0,0,0,1261.0298676646191
334,0,0.7116076784643071,0.0861046198094553,0.0,90,5257,0.652173913043478,9,5,0,0,0,1,0,0,0,0,0,0,0,5782.826194462848
335,0,0.7116076784643071,0.0861046198094553,0.0,90,5257,0.652173913043478,9,5,0,1,0,0,0,0,0,0,0,0,0,5671.6758169863215
336,0,0.7116076784643071,0.0861046198094553,0.0,90,5257,0.652173913043478,9,5,1,0,0,0,0,0,0,0,0,0,0,5781.69221178794
343,0,0.678314337132574,0.0852058241955779,0.0,90,826,1.0,9,2,0,0,0,1,0,0,0,0,0,0,0,1049.335746128168
344,0,0.678314337132574,0.0852058241955779,0.0,90,826,1.0,9,2,1,0,0,0,0,0,0,0,0,0,0,1030.0036122333133
345,0,0.678314337132574,0.0852058241955779,0.0,90,826,1.0,9,2,0,1,0,0,0,0,0,0,0,0,0,1060.4369939874869
398,0,0.7105578884223149,0.0746000359518246,0.0,90,4517,0.608695652173913,9,5,0,0,0,1,0,0,0,0,0,0,0,5499.224132914492
399,0,0.7105578884223149,0.0746000359518246,0.0,90,4517,0.608695652173913,9,5,0,1,0,0,0,0,0,0,0,0,0,5378.837172849714
400,0,0.7105578884223149,0.0746000359518246,0.0,90,4517,0.608695652173913,9,5,0,0,0,0,0,0,1,0,0,0,0,5226.7777166033175
401,0,0.7105578884223149,0.0746000359518246,0.0,90,4517,0.608695652173913,9,5,1,0,0,0,0,0,0,0,0,0,0,5471.42830085111
409,0,0.811187762447511,0.0729822038468452,0.0,75,3629,0.7826086956521741,8,2,0,0,0,1,0,0,0,0,0,0,0,4067.848925737978
410,0,0.811187762447511,0.0729822038468452,0.0,75,3629,0.7826086956521741,8,2,0,1,0,0,0,0,0,0,0,0,0,4122.355906304572
411,0,0.811187762447511,0.0729822038468452,0.0,75,3629,0.7826086956521741,8,2,1,0,0,0,0,0,0,0,0,0,0,4038.5140310268166
416,0,0.725104979004199,0.0719036491101923,0.0,90,4391,0.4782608695652171,8,6,0,0,0,1,0,0,0,0,0,0,0,5023.674539207848
417,0,0.725104979004199,0.0719036491101923,0.0,90,4391,0.4782608695652171,8,6,0,1,0,0,0,0,0,0,0,0,0,4996.2841582051
418,0,0.725104979004199,0.0719036491101923,0.0,90,4391,0.4782608695652171,8,6,1,0,0,0,0,0,0,0,0,0,0,4993.378209577116
419,0,0.725104979004199,0.0719036491101923,0.0,90,4391,0.4782608695652171,8,6,0,0,0,0,0,0,0,1,0,0,0,4974.216226729735
425,0,0.7555488902219549,0.0708250943735395,0.0,90,3571,0.43478260869565205,9,1,0,0,0,1,0,0,0,0,0,0,0,3577.928593363233
426,0,0.7555488902219549,0.0708250943735395,0.0,90,3571,0.43478260869565205,9,1,1,0,0,0,0,0,0,0,0,0,0,3586.05940167417
454,0,0.678314337132574,0.0620168973575409,0.0,90,6354,0.695652173913043,9,2,0,0,0,1,0,0,0,0,0,0,0,5926.115950741477
455,0,0.678314337132574,0.0620168973575409,0.0,90,6354,0.695652173913043,9,2,1,0,0,0,0,0,0,0,0,0,0,6010.5370153063695
456,0,0.678314337132574,0.0620168973575409,0.0,90,6354,0.695652173913043,9,2,0,1,0,0,0,0,0,0,0,0,0,5854.657206857728
457,0,0.657618476304739,0.0620168973575409,0.0,90,4567,0.4782608695652171,9,4,0,0,0,1,0,0,0,0,0,0,0,4658.542980602237
458,0,0.657618476304739,0.0620168973575409,0.0,90,4567,0.4782608695652171,9,4,1,0,0,0,0,0,0,0,0,0,0,4688.999417444937
459,0,0.657618476304739,0.0620168973575409,0.0,90,4567,0.4782608695652171,9,4,0,0,0,0,0,0,0,1,0,0,0,4639.453239687753
466,0,0.7627474505098979,0.0611181017436635,0.0,90,4040,0.4782608695652171,9,1,0,0,0,1,0,0,0,0,0,0,0,3772.26348459636
467,0,0.7627474505098979,0.0611181017436635,0.0,90,4040,0.4782608695652171,9,1,1,0,0,0,0,0,0,0,0,0,0,3707.351265289019
476,0,0.629724055188962,0.0593205105159087,0.0,1,350,0.0434782608695652,9,5,0,0,0,1,0,0,0,0,0,0,0,396.75051608749607
477,0,0.629724055188962,0.0593205105159087,0.0,1,350,0.0434782608695652,9,5,1,0,0,0,0,0,0,0,0,0,0,408.59740678596626
494,0,0.6721655668866229,0.0571634010426029,0.0,20,3027,0.21739130434782603,9,3,0,0,0,1,0,0,0,0,0,0,0,2716.0578621450536
495,0,0.6721655668866229,0.0571634010426029,0.0,20,3027,0.21739130434782603,9,3,1,0,0,0,0,0,0,0,0,0,0,2814.7866697136865
496,0,0.6721655668866229,0.0571634010426029,0.0,20,3027,0.21739130434782603,9,3,0,1,0,0,0,0,0,0,0,0,0,2541.093902669058
505,0,0.755848830233954,0.0557253280603991,0.0,90,3017,0.826086956521739,9,3,0,0,0,1,0,0,0,0,0,0,0,3053.799078939686
506,0,0.755848830233954,0.0557253280603991,0.0,90,3017,0.826086956521739,9,3,1,0,0,0,0,0,0,0,0,0,0,2998.098055690993
507,0,0.755848830233954,0.0557253280603991,0.0,90,3017,0.826086956521739,9,3,0,0,0,0,0,0,0,1,0,0,0,2964.6284373236554
524,0,0.626124775044991,0.0548265324465217,0.0,1,281,0.0869565217391304,9,5,0,0,0,1,0,0,0,0,0,0,0,269.55999085135784
525,0,0.626124775044991,0.0548265324465217,0.0,1,281,0.0869565217391304,9,5,1,0,0,0,0,0,0,0,0,0,0,306.69879535481374
526,0,0.766346730653869,0.0548265324465217,0.0,20,4499,0.43478260869565205,9,4,0,0,0,1,0,0,0,0,0,0,0,4600.744077074504
527,0,0.766346730653869,0.0548265324465217,0.0,20,4499,0.43478260869565205,9,4,0,1,0,0,0,0,0,0,0,0,0,4825.205693925702
532,0,0.717156568686263,0.0532087003415423,0.0,90,3497,0.91304347826087,9,5,0,0,0,1,0,0,0,0,0,0,0,2305.0347809148166
534,0,0.760797840431914,0.0524896638504404,0.0,75,4383,0.7826086956521741,9,3,0,0,0,1,0,0,0,0,0,0,0,4222.896391534326
535,0,0.760797840431914,0.0524896638504404,0.0,75,4383,0.7826086956521741,9,3,1,0,0,0,0,0,0,0,0,0,0,4076.2061068967837
536,0,0.760797840431914,0.0524896638504404,0.0,75,4383,0.7826086956521741,9,3,0,1,0,0,0,0,0,0,0,0,0,4152.180372304644
537,0,0.760797840431914,0.0524896638504404,0.0,75,4383,0.7826086956521741,9,3,0,0,0,0,0,0,0,1,0,0,0,3903.219085594198
541,0,0.739802039592082,0.0517706273593385,0.0,90,5879,0.652173913043478,8,6,0,0,0,1,0,0,0,0,0,0,0,5814.991694070729
542,0,0.739802039592082,0.0517706273593385,0.0,90,5879,0.652173913043478,8,6,1,0,0,0,0,0,0,0,0,0,0,5880.498504998221
547,0,0.7425014997000601,0.0514111091137875,0.0,90,4755,0.7826086956521741,8,6,0,0,0,1,0,0,0,0,0,0,0,4061.996961589132
548,0,0.7425014997000601,0.0514111091137875,0.0,90,4755,0.7826086956521741,8,6,1,0,0,0,0,0,0,0,0,0,0,3975.386546097094
549,0,0.7425014997000601,0.0514111091137875,0.0,90,4755,0.7826086956521741,8,6,0,1,0,0,0,0,0,0,0,0,0,3921.767658079513
551,0,0.695410917816437,0.051231349991012004,0.0,90,5327,0.652173913043478,9,2,0,0,0,1,0,0,0,0,0,0,0,5580.628760623506
552,0,0.695410917816437,0.051231349991012004,0.0,90,5327,0.652173913043478,9,2,0,1,0,0,0,0,0,0,0,0,0,5516.035428081669
553,0,0.695410917816437,0.051231349991012004,0.0,90,5327,0.652173913043478,9,2,1,0,0,0,0,0,0,0,0,0,0,5658.0586965793045
554,0,0.695410917816437,0.051231349991012004,0.0,90,5327,0.652173913043478,9,2,0,0,0,0,0,0,0,1,0,0,0,5679.956117609606
570,0,0.7365026994601079,0.0501527952543592,0.0,20,1503,0.956521739130435,8,2,0,0,0,1,0,0,0,0,0,0,0,1801.8019170235905
571,0,0.7312537492501501,0.0501527952543592,0.0,40,1014,1.0,8,2,0,0,0,1,0,0,0,0,0,0,0,1274.665335663024
572,0,0.7209058188362328,0.0501527952543592,0.0,75,576,0.0,8,3,0,0,0,1,0,0,0,0,0,0,0,752.2519046324413
573,0,0.705608878224355,0.0501527952543592,0.0,90,367,0.130434782608696,8,3,0,0,0,1,0,0,0,0,0,0,0,412.0737581392662
574,0,0.705608878224355,0.0501527952543592,0.0,90,367,0.130434782608696,8,3,1,0,0,0,0,0,0,0,0,0,0,426.1867580477585
575,0,0.6940611877624481,0.0501527952543592,0.0,90,5611,0.260869565217391,8,3,0,0,0,1,0,0,0,0,0,0,0,5037.935070625529
576,0,0.6940611877624481,0.0501527952543592,0.0,90,5611,0.260869565217391,8,3,1,0,0,0,0,0,0,0,0,0,0,5190.486469022104
577,0,0.640221955608878,0.0501527952543592,0.0,1,570,0.0,9,5,0,0,0,1,0,0,0,0,0,0,0,624.9736645878637
578,0,0.640221955608878,0.0501527952543592,0.0,1,570,0.0,9,5,1,0,0,0,0,0,0,0,0,0,0,612.7912821349985
579,0,0.624475104979004,0.0501527952543592,0.0,1,337,0.130434782608696,9,5,0,0,0,1,0,0,0,0,0,0,0,326.8761190848592
580,0,0.624475104979004,0.0501527952543592,0.0,1,337,0.130434782608696,9,5,1,0,0,0,0,0,0,0,0,0,0,394.64534555957357
581,0,0.613377324535093,0.0501527952543592,0.0,1,909,0.17391304347826098,9,5,0,0,0,1,0,0,0,0,0,0,0,922.7463363417279
582,0,0.613377324535093,0.0501527952543592,0.0,1,909,0.17391304347826098,9,5,0,0,0,0,0,0,1,0,0,0,0,1077.4928327786931
583,0,0.582633473305339,0.0501527952543592,0.0,20,6526,0.304347826086957,9,5,0,0,0,1,0,0,0,0,0,0,0,5828.082902660516
584,0,0.582633473305339,0.0501527952543592,0.0,20,6526,0.304347826086957,9,5,1,0,0,0,0,0,0,0,0,0,0,5998.179112901013
585,0,0.7470005998800241,0.0501527952543592,0.0,90,5551,0.39130434782608703,9,4,0,0,0,1,0,0,0,0,0,0,0,5031.595544749323
586,0,0.7470005998800241,0.0501527952543592,0.0,90,5551,0.39130434782608703,9,4,0,1,0,0,0,0,0,0,0,0,0,5127.668949968817
588,0,0.730353929214157,0.0496135178860327,0.0,90,5149,0.565217391304348,8,6,0,0,0,1,0,0,0,0,0,0,0,5447.780274975153
589,0,0.730353929214157,0.0496135178860327,0.0,90,5149,0.565217391304348,8,6,0,1,0,0,0,0,0,0,0,0,0,5410.541690960634
590,0,0.730353929214157,0.0496135178860327,0.0,90,5149,0.565217391304348,8,6,0,0,0,0,0,0,0,1,0,0,0,5389.220189771285
591,0,0.730353929214157,0.0496135178860327,0.0,90,5149,0.565217391304348,8,6,1,0,0,0,0,0,0,0,0,0,0,5424.235530272018
592,0,0.7829934013197359,0.0496135178860327,0.0,90,5667,0.695652173913043,9,3,0,0,0,1,0,0,0,0,0,0,0,6173.908785983668
593,0,0.7829934013197359,0.0496135178860327,0.0,90,5667,0.695652173913043,9,3,1,0,0,0,0,0,0,0,0,0,0,6257.177838133287
610,0,0.7654469106178771,0.047096890167176,0.0,90,5242,0.39130434782608703,9,3,0,0,0,1,0,0,0,0,0,0,0,4981.567208232011
611,0,0.7654469106178771,0.047096890167176,0.0,90,5242,0.39130434782608703,9,3,0,0,0,0,0,0,0,1,0,0,0,4973.16853613486
612,0,0.7654469106178771,0.047096890167176,0.0,90,5242,0.39130434782608703,9,3,1,0,0,0,0,0,0,0,0,0,0,5161.826763481168
613,0,0.7654469106178771,0.047096890167176,0.0,90,5242,0.39130434782608703,9,3,0,1,0,0,0,0,0,0,0,0,0,5131.435682044367
617,0,0.78629274145171,0.0469171310444005,0.0,90,5436,0.652173913043478,9,3,0,0,0,1,0,0,0,0,0,0,0,5852.414559521075
618,0,0.78629274145171,0.0469171310444005,0.0,90,5436,0.652173913043478,9,3,1,0,0,0,0,0,0,0,0,0,0,5923.839885561708
619,0,0.7538992201559691,0.046737371921625,0.0,90,2385,0.8695652173913041,9,3,0,0,0,1,0,0,0,0,0,0,0,2590.3905030348437
620,0,0.7538992201559691,0.046737371921625,0.0,90,2385,0.8695652173913041,9,3,1,0,0,0,0,0,0,0,0,0,0,2542.8322149667915
621,0,0.7538992201559691,0.046737371921625,0.0,90,2385,0.8695652173913041,9,3,0,0,0,0,0,0,0,1,0,0,0,2505.5872658593203
638,0,0.612477504499101,0.0456588171849721,0.0,1,5996,0.34782608695652195,9,5,0,0,0,1,0,0,0,0,0,0,0,5693.161460588145
639,0,0.771595680863827,0.0456588171849721,0.0,90,5025,0.39130434782608703,9,6,0,0,0,1,0,0,0,0,0,0,0,4785.549764971112
640,0,0.7658968206358729,0.0456588171849721,0.0,90,4930,0.608695652173913,9,2,0,0,0,1,0,0,0,0,0,0,0,5249.9086206743605
641,0,0.7658968206358729,0.0456588171849721,0.0,90,4930,0.608695652173913,9,2,0,1,0,0,0,0,0,0,0,0,0,5171.2109772188205
642,0,0.675914817036593,0.0456588171849721,0.0,90,5123,0.39130434782608703,9,3,0,0,0,1,0,0,0,0,0,0,0,4935.458696487424
643,0,0.675914817036593,0.0456588171849721,0.0,90,5123,0.39130434782608703,9,3,0,1,0,0,0,0,0,0,0,0,0,5069.183423064663
644,0,0.675914817036593,0.0456588171849721,0.0,90,5123,0.39130434782608703,9,3,1,0,0,0,0,0,0,0,0,0,0,5136.943962351555
649,0,0.6784643071385721,0.0445802624483193,0.0,75,5412,0.7391304347826091,9,2,0,0,0,1,0,0,0,0,0,0,0,5264.350428321911
650,0,0.6784643071385721,0.0445802624483193,0.0,75,5412,0.7391304347826091,9,2,1,0,0,0,0,0,0,0,0,0,0,5162.440169693864
651,0,0.6784643071385721,0.0445802624483193,0.0,75,5412,0.7391304347826091,9,2,0,0,0,0,0,0,0,1,0,0,0,5085.712086615791
653,0,0.7267546490701858,0.0433219485888909,0.0,90,4971,0.39130434782608703,8,6,0,0,0,1,0,0,0,0,0,0,0,4771.928517934756
654,0,0.7267546490701858,0.0433219485888909,0.0,90,4971,0.39130434782608703,8,6,0,0,0,0,0,0,0,1,0,0,0,4703.964034259759
655,0,0.7267546490701858,0.0433219485888909,0.0,90,4971,0.39130434782608703,8,6,1,0,0,0,0,0,0,0,0,0,0,4804.82887986546
656,0,0.7267546490701858,0.0433219485888909,0.0,90,4971,0.39130434782608703,8,6,0,1,0,0,0,0,0,0,0,0,0,4765.3861163070205
657,0,0.6771145770845839,0.0433219485888909,0.0,90,5642,0.260869565217391,9,3,0,0,0,1,0,0,0,0,0,0,0,5007.3729770860045
658,0,0.6771145770845839,0.0433219485888909,0.0,90,5642,0.260869565217391,9,3,0,1,0,0,0,0,0,0,0,0,0,4950.130662582099
659,0,0.6771145770845839,0.0433219485888909,0.0,90,5642,0.260869565217391,9,3,1,0,0,0,0,0,0,0,0,0,0,5169.519600112078
687,0,0.6072285542891421,0.0411648391155851,0.0,1,3036,0.21739130434782603,9,5,0,0,0,1,0,0,0,0,0,0,0,3083.498538057554
688,0,0.6072285542891421,0.0411648391155851,0.0,1,3036,0.21739130434782603,9,5,1,0,0,0,0,0,0,0,0,0,0,3118.008776255672
689,0,0.591631673665267,0.0411648391155851,0.0,1,5868,0.260869565217391,9,5,0,0,0,1,0,0,0,0,0,0,0,5947.7783362953505
690,0,0.6991601679664069,0.0411648391155851,0.0,90,1392,0.956521739130435,9,2,0,0,0,1,0,0,0,0,0,0,0,1558.3590408176772
691,0,0.6991601679664069,0.0411648391155851,0.0,90,1392,0.956521739130435,9,2,1,0,0,0,0,0,0,0,0,0,0,1528.3354905519798
692,0,0.6991601679664069,0.0411648391155851,0.0,90,1392,0.956521739130435,9,2,0,0,0,0,0,0,0,1,0,0,0,1485.1010850536538
693,0,0.7532993401319741,0.0406255617472587,0.0,90,1351,0.956521739130435,9,3,0,0,0,1,0,0,0,0,0,0,0,1658.5188176888084
694,0,0.7532993401319741,0.0406255617472587,0.0,90,1351,0.956521739130435,9,3,1,0,0,0,0,0,0,0,0,0,0,1617.4309877333187
695,0,0.7532993401319741,0.0406255617472587,0.0,90,1351,0.956521739130435,9,3,0,0,0,0,0,0,0,1,0,0,0,1577.6146670444716
709,0,0.737402519496101,0.0395470070106058,0.0,90,5499,0.608695652173913,8,6,0,0,0,1,0,0,0,0,0,0,0,5684.734686451875
710,0,0.737402519496101,0.0395470070106058,0.0,90,5499,0.608695652173913,8,6,0,1,0,0,0,0,0,0,0,0,0,5616.312023380714
711,0,0.737402519496101,0.0395470070106058,0.0,90,5499,0.608695652173913,8,6,1,0,0,0,0,0,0,0,0,0,0,5677.437291662805
730,0,0.6679664067186559,0.0388279705195039,0.0,90,351,0.0434782608695652,9,3,0,0,0,1,0,0,0,0,0,0,0,593.8491274975544
731,0,0.6679664067186559,0.0388279705195039,0.0,90,351,0.0434782608695652,9,3,0,1,0,0,0,0,0,0,0,0,0,617.3336594397452
732,0,0.6679664067186559,0.0388279705195039,0.0,90,351,0.0434782608695652,9,3,1,0,0,0,0,0,0,0,0,0,0,534.2536408171173
773,0,0.7258548290341941,0.0364911019234226,0.0,90,4539,0.43478260869565205,8,6,0,0,0,1,0,0,0,0,0,0,0,4855.504208791043
774,0,0.7258548290341941,0.0364911019234226,0.0,90,4539,0.43478260869565205,8,6,1,0,0,0,0,0,0,0,0,0,0,4825.207879160312
775,0,0.7258548290341941,0.0364911019234226,0.0,90,4539,0.43478260869565205,8,6,0,1,0,0,0,0,0,0,0,0,0,4813.796627024197
776,0,0.6427714457108579,0.0364911019234226,0.0,1,993,1.0,9,4,0,0,0,1,0,0,0,0,0,0,0,1464.758548314523
800,0,0.684763047390522,0.0334351968362394,0.0,90,401,0.0434782608695652,9,4,0,0,0,1,0,0,0,0,0,0,0,628.5563127170802
801,0,0.684763047390522,0.0334351968362394,0.0,90,401,0.0434782608695652,9,4,0,1,0,0,0,0,0,0,0,0,0,602.6514836733975
802,0,0.6852129574085178,0.0334351968362394,0.0,90,282,0.0869565217391304,9,4,0,0,0,1,0,0,0,0,0,0,0,420.7790288001047
803,0,0.6852129574085178,0.0334351968362394,0.0,90,282,0.0869565217391304,9,4,0,1,0,0,0,0,0,0,0,0,0,441.212860503706
808,0,0.7640971805638871,0.033255437713464,0.0,90,2922,0.826086956521739,8,2,0,0,0,1,0,0,0,0,0,0,0,3009.9486243100428
809,0,0.7640971805638871,0.033255437713464,0.0,90,2922,0.826086956521739,8,2,0,1,0,0,0,0,0,0,0,0,0,2969.454904161797
810,0,0.7913917216556691,0.033255437713464,0.0,90,4785,0.608695652173913,9,3,0,0,0,1,0,0,0,0,0,0,0,5501.246209076481
811,0,0.7913917216556691,0.033255437713464,0.0,90,4785,0.608695652173913,9,3,1,0,0,0,0,0,0,0,0,0,0,5566.742817725878
817,0,0.734853029394121,0.0327161603451375,0.0,90,6088,0.695652173913043,8,6,0,0,0,1,0,0,0,0,0,0,0,5784.870072401241
818,0,0.734853029394121,0.0327161603451375,0.0,90,6088,0.695652173913043,8,6,0,1,0,0,0,0,0,0,0,0,0,5694.830536158233
819,0,0.734853029394121,0.0327161603451375,0.0,90,6088,0.695652173913043,8,6,1,0,0,0,0,0,0,0,0,0,0,5840.092979845665
859,0,0.713557288542292,0.0319971238540356,0.0,90,1089,0.0,8,7,0,0,0,1,0,0,0,0,0,0,0,742.2979515449026
860,0,0.713557288542292,0.0319971238540356,0.0,90,1089,0.0,8,7,1,0,0,0,0,0,0,0,0,0,0,726.5516688444096
861,0,0.7125074985003,0.0319971238540356,0.0,90,366,0.130434782608696,8,7,0,0,0,1,0,0,0,0,0,0,0,487.19223179025005
862,0,0.7125074985003,0.0319971238540356,0.0,90,366,0.130434782608696,8,7,1,0,0,0,0,0,0,0,0,0,0,469.19464368839084
863,0,0.7134073185362929,0.0319971238540356,0.0,90,500,0.17391304347826098,8,7,0,0,0,1,0,0,0,0,0,0,0,402.1735233245256
864,0,0.7134073185362929,0.0319971238540356,0.0,90,500,0.17391304347826098,8,7,1,0,0,0,0,0,0,0,0,0,0,409.3055732122194
865,0,0.721205758848231,0.0319971238540356,0.0,90,4100,0.39130434782608703,8,7,0,0,0,1,0,0,0,0,0,0,0,3556.2433961577767
866,0,0.721205758848231,0.0319971238540356,0.0,90,4100,0.39130434782608703,8,7,1,0,0,0,0,0,0,0,0,0,0,3576.8562451755965
867,0,0.721205758848231,0.0319971238540356,0.0,90,4100,0.39130434782608703,8,7,0,0,0,0,0,0,1,0,0,0,0,3258.340578869646
868,0,0.733353329334134,0.0319971238540356,0.0,90,4509,0.43478260869565205,8,7,0,0,0,1,0,0,0,0,0,0,0,4014.790557705587
869,0,0.733353329334134,0.0319971238540356,0.0,90,4509,0.43478260869565205,8,7,1,0,0,0,0,0,0,0,0,0,0,4035.4034067234074
870,0,0.7488002399520101,0.0319971238540356,0.0,90,4647,0.4782608695652171,8,7,0,0,0,1,0,0,0,0,0,0,0,4257.177547000762
871,0,0.7488002399520101,0.0319971238540356,0.0,90,4647,0.4782608695652171,8,7,1,0,0,0,0,0,0,0,0,0,0,4384.32997507346
872,0,0.7574985002999399,0.0319971238540356,0.0,90,4846,0.5217391304347829,8,7,0,0,0,1,0,0,0,0,0,0,0,4263.440035836126
873,0,0.81373725254949,0.0319971238540356,0.0,75,4677,0.695652173913043,8,7,0,0,0,1,0,0,0,0,0,0,0,4402.373375106525
874,0,0.8161367726454709,0.0319971238540356,0.0,40,3914,0.7826086956521741,8,7,0,0,0,1,0,0,0,0,0,0,0,3608.0290721785673
875,0,0.8063887222555491,0.0319971238540356,0.0,20,3371,0.826086956521739,8,7,0,0,0,1,0,0,0,0,0,0,0,3258.1759346379663
876,0,0.78629274145171,0.0319971238540356,0.0,20,3071,0.8695652173913041,8,7,0,0,0,1,0,0,0,0,0,0,0,2992.3297593528587
877,0,0.7311037792441508,0.0319971238540356,0.0,5,2713,0.956521739130435,8,7,0,0,0,1,0,0,0,0,0,0,0,2520.522483461985
878,0,0.7311037792441508,0.0319971238540356,0.0,5,2713,0.956521739130435,8,7,1,0,0,0,0,0,0,0,0,0,0,2624.016212053334
879,0,0.7311037792441508,0.0319971238540356,0.0,5,2713,0.956521739130435,8,7,0,0,0,0,0,0,1,0,0,0,0,2587.3690402819775
880,0,0.71625674865027,0.0319971238540356,0.0,1,2134,1.0,8,7,0,0,0,1,0,0,0,0,0,0,0,2258.1797424235097
881,0,0.71625674865027,0.0319971238540356,0.0,1,2134,1.0,8,7,1,0,0,0,0,0,0,0,0,0,0,2434.158414085409
882,0,0.71625674865027,0.0319971238540356,0.0,1,2134,1.0,8,7,0,0,0,0,0,0,1,0,0,0,0,2402.4568516813365
883,0,0.709958008398321,0.0319971238540356,0.0,1,1375,0.0,8,1,0,0,0,1,0,0,0,0,0,0,0,1333.5063391595702
884,0,0.709958008398321,0.0319971238540356,0.0,1,1375,0.0,8,1,1,0,0,0,0,0,0,0,0,0,0,1150.9691370224866
